Primer_combo,PlateID,Well,Column,Species,Lineage,Ploidy,SID,Individual,Genome,Genome_w_copynumber,Primer,CopiesPer20ul,DF,nucPer20ul,copiesPerNuc,Positive_droplets,Negative_droplets,Accepted_droplets,Percentage_positives,copiesPerNucAdjusted
PC2,PC2_run4,C07,7,thaliana,2X,2,W2X_03_clpP,W2X_03,pt,pt-1x,clpP,2160,200,1280,337.5,1400,14568,15968,0.087675351,168.75
PC2,PC2_run5,C07,7,thaliana,2X,2,W2X_06_clpP,W2X_06,pt,pt-1x,clpP,706,200,1270,111.1811024,396,13001,13397,0.029558856,55.5905512
PC2,PC2_run3,C07,7,thaliana,2X,2,W2X_08_clpP,W2X_08,pt,pt-1x,clpP,1166,200,1340,174.0298507,659,12964,13623,0.048374073,87.01492535
PC2,PC2_run6,G10,10,thaliana,2X,2,W2X_10_clpP,W2X_10,pt,pt-1x,clpP,1032,200,1251,164.9880096,604,13463,14067,0.042937371,82.4940048
PC2,PC2_run2,C07,7,thaliana,2X,2,W2X_11_clpP,W2X_11,pt,pt-1x,clpP,982,200,1480,132.7027027,602,14131,14733,0.040860653,66.35135135
PC2,PC2_run1,G10,10,thaliana,2X,2,W2X_12_clpP,W2X_12,pt,pt-1x,clpP,1414,200,1210,233.7190083,823,13278,14101,0.058364655,116.8595042
PC2,PC2_run4,G03,3,thaliana,2X,2,W2X_15_clpP,W2X_15,pt,pt-1x,clpP,990,200,1640,120.7317073,515,11989,12504,0.04118682,60.36585365
PC2,PC2_run2,G03,3,thaliana,2X,2,W2X_16_clpP,W2X_16,pt,pt-1x,clpP,2620,200,1208,433.7748344,1394,11881,13275,0.105009416,216.8874172
PC2,PC2_run3,G03,3,thaliana,2X,2,W2X_17_clpP,W2X_17,pt,pt-1x,clpP,1248,200,1580,157.9746835,680,12478,13158,0.051679587,78.98734175
PC2,Redo_run5,C10,10,thaliana,2X,2,W2X_18_clpP,W2X_18,pt,pt-1x,clpP,852,200,1399,121.8012866,515,13962,14477,0.035573669,60.9006433
PC2,PC2_run4,D07,7,thaliana,2X,2,W2X_03_ndhB,W2X_03,pt,pt-2x,ndhB,4060,200,1280,317.1875,1996,10591,12587,0.158576309,158.59375
PC2,PC2_run5,D07,7,thaliana,2X,2,W2X_06_ndhB,W2X_06,pt,pt-2x,ndhB,1220,200,1270,96.06299215,595,11188,11783,0.050496478,48.03149608
PC2,PC2_run3,D07,7,thaliana,2X,2,W2X_08_ndhB,W2X_08,pt,pt-2x,ndhB,2282,200,1340,170.2985075,1160,11390,12550,0.092430279,85.14925375
PC2,PC2_run6,H10,10,thaliana,2X,2,W2X_10_ndhB,W2X_10,pt,pt-2x,ndhB,2396,200,1251,191.5267786,1474,13746,15220,0.096846255,95.7633893
PC2,PC2_run2,D07,7,thaliana,2X,2,W2X_11_ndhB,W2X_11,pt,pt-2x,ndhB,2108,200,1480,142.4324325,1280,13652,14932,0.085721939,71.21621625
PC2,PC2_run1,H10,10,thaliana,2X,2,W2X_12_ndhB,W2X_12,pt,pt-2x,ndhB,3020,200,1210,249.5867769,1718,12527,14245,0.120603721,124.7933885
PC2,PC2_run4,H03,3,thaliana,2X,2,W2X_15_ndhB,W2X_15,pt,pt-2x,ndhB,1998,200,1640,121.8292683,1030,11621,12651,0.081416489,60.91463415
PC2,PC2_run2,H03,3,thaliana,2X,2,W2X_16_ndhB,W2X_16,pt,pt-2x,ndhB,4720,200,1208,390.7284768,2638,11854,14492,0.182031466,195.3642384
PC2,PC2_run3,H03,3,thaliana,2X,2,W2X_17_ndhB,W2X_17,pt,pt-2x,ndhB,2480,200,1580,156.9620253,1330,11994,13324,0.099819874,78.48101265
PC2,Redo_run5,D10,10,thaliana,2X,2,W2X_18_ndhB,W2X_18,pt,pt-2x,ndhB,1476,200,1399,105.5039314,977,15100,16077,0.060770044,52.7519657
PC3,PC3_run4,D07,7,thaliana,2X,2,W2X_03_ndhH,W2X_03,pt,pt-1x,ndhH,2940,200,1400,420,1699,12785,14484,0.11730185,210
PC3,PC3_run4,H03,3,thaliana,2X,2,W2X_06_ndhH,W2X_06,pt,pt-1x,ndhH,842,200,1252,134.5047923,589,16159,16748,0.035168378,67.25239615
PC3,PC3_run3,D07,7,thaliana,2X,2,W2X_08_ndhH,W2X_08,pt,pt-1x,ndhH,1156,200,1227,188.4270579,651,12926,13577,0.047948737,94.21352895
PC3,Redo_run1,H09,9,thaliana,2X,2,W2X_10_ndhH,W2X_10,pt,pt-1x,ndhH,1066,200,1400,152.2857143,680,14669,15349,0.04430256,76.14285715
PC3,PC3_run1,H10,10,thaliana,2X,2,W2X_11_ndhH,W2X_11,pt,pt-1x,ndhH,1160,200,1570,147.7707006,665,13155,13820,0.048118669,73.8853503
PC3,PC3_run5,D07,7,thaliana,2X,2,W2X_12_ndhH,W2X_12,pt,pt-1x,ndhH,1682,200,1530,219.869281,1031,13917,14948,0.068972438,109.9346405
PC3,PC3_run2,D07,7,thaliana,2X,2,W2X_15_ndhH,W2X_15,pt,pt-1x,ndhH,1192,200,1630,146.2576687,414,7970,8384,0.049379771,73.12883435
PC3,PC3_run6,H10,10,thaliana,2X,2,W2X_16_ndhH,W2X_16,pt,pt-1x,ndhH,2730,200,1390,392.8057554,1676,13620,15296,0.10957113,196.4028777
PC3,PC3_run3,H03,3,thaliana,2X,2,W2X_17_ndhH,W2X_17,pt,pt-1x,ndhH,1262,200,1620,155.8024691,742,13476,14218,0.052187368,77.90123455
PC3,Redo_run4,H10,10,thaliana,2X,2,W2X_18_ndhH,W2X_18,pt,pt-1x,ndhH,844,200,1360,124.1176471,457,12517,12974,0.035224295,62.05882355
PC1,PC1_run5,H03,3,thaliana,2X,2,W2X_03_psaA,W2X_03,pt,Pt,psaA,2244,200,1490,301.2080537,1239,12377,13616,0.090995887,150.6040269
PC1,PC1_run6,H10,10,thaliana,2X,2,W2X_06_psaA,W2X_06,pt,Pt,psaA,772,200,1188,129.96633,414,12423,12837,0.032250526,64.983165
PC1,PC1_run4,D07,7,thaliana,2X,2,W2X_08_psaA,W2X_08,pt,Pt,psaA,1294,200,1252,206.7092652,749,13242,13991,0.053534415,103.3546326
PC1,PC1_run5,D07,7,thaliana,2X,2,W2X_10_psaA,W2X_10,pt,Pt,psaA,1094,200,1290,169.6124031,535,11235,11770,0.045454545,84.80620155
PC1,PC1_run3,H03,3,thaliana,2X,2,W2X_11_psaA,W2X_11,pt,Pt,psaA,1260,200,1590,158.490566,696,12644,13340,0.052173913,79.245283
PC1,PC1_run1,H06,6,thaliana,2X,2,W2X_12_psaA,W2X_12,pt,Pt,psaA,1740,200,1420,245.0704225,1038,13574,14612,0.071037503,122.5352113
PC1,PC1_run2,H03,3,thaliana,2X,2,W2X_15_psaA,W2X_15,pt,Pt,psaA,1076,200,1660,129.6385542,506,10804,11310,0.044739169,64.8192771
PC1,PC1_run3,D07,7,thaliana,2X,2,W2X_16_psaA,W2X_16,pt,Pt,psaA,2720,200,1460,372.6027397,1257,10249,11506,0.109247349,186.3013699
PC1,PC1_run2,D07,7,thaliana,2X,2,W2X_17_psaA,W2X_17,pt,Pt,psaA,1340,200,1710,156.7251462,668,11327,11995,0.055689871,78.3625731
PC1,Redo_run3,H12,12,thaliana,2X,2,W2X_18_psaA,W2X_18,pt,pt-1x,psaA,942,200,1368,137.7192982,682,16685,17367,0.03926988,68.8596491
